total_payload_bytes,bytes_rate,packets_rate,avg_segment_size,duration,fwd_bytes_rate,bwd_bytes_rate,syn_flag_counts
4364,12027.278731612249,49.60839073533924,242.44444444444449,0.3628418445587158,1524.0800042579224,10503.198727354324,2
9829,35478.63063881789,90.2396750402327,393.16,0.2770400047302246,1873.3756538352309,33605.25498498266,2
9829,35481.16502955916,97.4658109470035,364.037037037037,0.2770202159881592,1873.5094770924009,33607.655552466764,2
9829,35481.71470424455,90.24751934134844,393.16,0.2770159244537353,1873.5385015263937,33608.17620271816,2
4337,24816.470804587665,108.718686946545,228.26315789473685,0.1747629642486572,2918.238439091471,21898.232365496195,2
15510,24603.66127294952,44.41666767521512,553.9285714285714,0.6303939819335938,1119.9345492393527,23483.72672371017,2
0,0.0,0.0,0.0,0.0,0.0,0.0,0
1297,27283.41226446795,189.32205888990867,144.11111111111111,0.0475380420684814,9192.637748321122,18090.77451614683,2
1295,23188.284153005465,161.15409836065575,143.88888888888889,0.05584716796875,7807.020765027322,15381.263387978142,2
1829,48984.92414770732,374.95294590918667,130.64285714285714,0.0373380184173584,31549.61216293013,17435.31198477718,2
0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0.0,0.9136076063102752,0.0,5.472809076309204,0.0,0.0,2
7401,85725.2165882837,254.8243163008028,336.40909090909093,0.0863339900970459,6509.60298913869,79215.61359914501,2
7401,85355.61279040032,253.7256426683972,336.40909090909093,0.0867078304290771,6481.536871801782,78874.07591859854,2
7401,69590.38510720339,206.8623797268578,336.40909090909093,0.1063508987426757,5284.393518477003,64305.99158872639,2
7401,69465.49086759012,206.4911226978764,336.40909090909093,0.1065421104431152,5274.909588918477,64190.58127867165,2
7401,69328.96460971524,206.08528866555,336.40909090909093,0.1067519187927246,5264.542374092685,64064.42223562256,2
2693,37265.66613769008,152.21772280526952,244.8181818181818,0.0722649097442627,5908.815239804554,31356.850897885524,2
1295,15303.926495490496,106.35933471769457,143.88888888888889,0.0846188068389892,5152.518881879425,10151.407613611069,2
4333,42104.73461898451,174.91004457459525,240.72222222222223,0.102910041809082,4936.350146883022,37168.38447210149,2
4307,47162.81492930095,197.1048685227344,239.27777777777777,0.0913219451904296,5694.140646212327,41468.67428308862,2
9280,25591.31827389574,57.91138833532441,441.9047619047619,0.3626229763031006,1968.98720340103,23622.33107049471,2
3313,4942.997249212524,25.36400641008539,194.8823529411765,0.670241117477417,766.8881938108171,4176.109055401706,2
1295,5675.268637893401,39.44202142165298,143.88888888888889,0.2281830310821533,1910.746815537856,3764.5218223555457,2
4987,108446.19708729308,347.9324550625003,311.6875,0.0459859371185302,25290.34032735549,83155.85675993758,2
0,0.0,0.0,0.0,0.0,0.0,0.0,0
9232,1702.597897891388,4.057317347661454,419.6363636363636,5.422302007675171,504.5827392364426,1198.0151586549457,2
3439,54945.81857936819,271.6135259811746,202.2941176470588,0.0625889301300048,8372.087506713851,46573.73107265434,2
